period,obs,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,A_obs,W_obs,E_obs,N_obs,A_unc,W_unc,E_unc,N_unc
32,165,0.2328767123287671,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,481,178,112,229,0,0,0,0,0,0,0,433.993,59.143,84.133,255.731,33.32,8.33,16.66,33.32
32,166,0.9808219178082191,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,481,178,112,229,0,0,0,0,0,0,0,353.90999999999997,50.055,71.205,229.82999999999998,28.2,7.05,14.1,28.2
32,167,1.2301369863013698,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,481,178,112,229,0,0,0,0,0,0,0,294.984,43.452,67.32,206.244,24.48,6.12,12.24,24.48
32,168,1.978082191780822,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,481,178,112,229,0,0,0,0,0,0,0,226.95000000000002,38.76,56.1,188.19,20.4,5.1,10.2,20.4
32,169,2.23013698630137,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,481,178,112,229,0,0,0,0,0,0,0,194.866,33.226,53.88,167.028,17.96,4.49,8.98,17.96
32,170,2.9753424657534246,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,481,178,112,229,0,0,0,0,0,0,0,158.67000000000002,27.09,44.892,156.348,15.48,3.87,7.74,15.48
34,177,0.2465753424657534,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,514,82,116,288,0,0,0,0,0,0,0,453.995,50.344,99.789,294.872,35.96,8.99,17.98,35.96
34,178,0.9945205479452055,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,514,82,116,288,0,0,0,0,0,0,0,382.878,49.662,94.51799999999999,273.94199999999995,32.04,8.01,16.02,32.04
34,179,1.2465753424657535,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,514,82,116,288,0,0,0,0,0,0,0,328.996,48.007999999999996,79.072,249.92399999999998,28.24,7.06,14.12,28.24
34,180,1.9917808219178081,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,514,82,116,288,0,0,0,0,0,0,0,279.278,47.894,72.774,222.054,24.88,6.22,12.44,24.88
34,181,2.2575342465753425,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,514,82,116,288,0,0,0,0,0,0,0,218.948,33.02,58.42,197.612,20.32,5.08,10.16,20.32
34,182,3,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,514,82,116,288,0,0,0,0,0,0,0,174.67499999999998,28.474999999999998,51.425,170.42499999999998,17,4.25,8.5,17
41,215,0.2547945205479452,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,482.44800000000004,63.80200000000001,73.41600000000001,254.33400000000003,34.96000000000001,8.740000000000002,17.480000000000004,34.96000000000001
41,216,0.3698630136986301,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,434.70399999999995,66.256,68.67999999999999,238.35999999999999,32.32,8.08,16.16,32.32
41,217,0.9972602739726028,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,341.033,51.912,85.79899999999999,242.256,28.84,7.21,14.42,28.84
41,218,1.2657534246575342,-11.2,-10.2,-6,0,6.5,12,14.8,12.8,7.5,1.5,-4.1,-8.1,651,492,164,113,231,0,0,0,0,0,0,0,277.337,29.95,68.286,223.427,23.96,5.99,11.98,23.96
