sample_ID,POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl,OC,CaCO3,N,P,K,CEC,GPS_LAT,GPS_LONG,MAT,RAIN,Ndep_WD_tx,EROS,WT,LU,s_c_prc,OC_pom_g_kg,OC_sc_g_kg,OC_tf,N_tf,N_pom_g_kg,N_sc_g_kg
7101,50504356,27,34,51,14,5.89,5.18,30.2,0.5,2.1,31.1,241.2,14.5,61.65969,23.81208,3.753609951,619.5668126,4.130000114,0.337151719,-1.127725139,GR,88.823,4.721,25.226,29.947,2.599,0.243,2.356
7213,50384436,5,5,23,72,4.42,3.14,72.2,1,2.7,28.5,64.9,6.3,62.38514,23.90614,2.894782292,607.9216918,3.720000029,0.000999781,-12.07980548,FR,15.486,47.947,7.925,55.872,2.146,1.691,0.454
7087,50344366,7,5,16,80,5.85,5.55,24.7,2,1.8,12.5,26,3.2,61.7756,23.55485,3.420511358,664.0082364,4.130000114,0.002625744,-9.986369969,GR,22.204,7.665,15.72,23.386,1.917,0.602,1.315
8243,50264450,7,3,31,66,4.57,3.64,43,0.5,1.6,16,77.8,10.4,62.52953,23.73545,2.891236822,575.5176494,3.369999886,0.020855971,-3.451739961,FR,26.2,21.02,12.531,33.551,1.648,0.749,0.899
7086,50204400,7,3,35,61,5.17,4.24,21.5,1,1,5,34.1,4.7,62.09929,23.42509,3.086709119,642.0664288,4.130000114,0.000704771,-1.793902008,FR,35.794,9.605,9.46,19.065,0.868,0.396,0.472
6820,50144290,7,32,56,12,5.79,4.94,25,0.5,2.1,29.1,156.2,12.2,61.13882,22.90613,4.11278147,601.5613552,4.739999771,0.365271833,-1.614520677,CR,89.616,4.368,19.402,23.77,1.977,0.214,1.764
8071,49784574,22,5,44,51,4.59,4.23,22.1,0.5,1.9,43.8,71.4,3.5,63.70593,23.30988,3.042784458,534.0797869,4.329999924,0.240559164,-5.102261693,CR,46.375,6.015,16.551,22.566,1.884,0.472,1.413
43034,49524464,4,15,57,28,5.18,4.61,33.9,1,2.5,17.8,288.9,13.6,62.77641,22.3764,3.579069379,549.8677525,3.950000048,0.128090481,-5.693491442,FR,69.342,8.727,24.453,33.181,2.641,0.461,2.18
7155,49484440,11,11,40,49,5.32,4.22,9.7,0.5,0.8,5,48.1,2.3,62.57029,22.21278,3.595449654,593.6707666,3.950000048,0.222066584,-9.476044719,FR,51.044,2.845,6.222,9.067,0.578,0.15,0.428
7801,49924566,7,4,26,70,4.68,3.88,45.9,0.5,1.6,15.6,63,3.4,63.61128,23.55298,2.935271278,533.7271176,4.329999924,0.117651011,-4.810994513,FR,27.116,16.589,13.924,30.514,1.234,0.617,0.617
8408,39422854,6,20,74,6,6.92,6.59,9,1,1.1,46.6,263.1,9.9,48.68017,4.85031,10.63992408,820.26005,12.61999989,0.356582616,-1.992137849,CR,95.094,0.91,6.964,7.874,0.947,0.056,0.891
9139,39382810,51,34,53,13,7.66,7.19,44.6,106,3.6,58,545,33,48.28292,4.83694,9.806784516,810.6126778,11.81999969,0.701940425,-32.65087383,GR,88.52,13.78,34.033,47.814,4.603,0.646,3.957
9374,39002980,15,20,76,4,5.95,5.69,24.5,0.5,2.6,23,177.7,12.7,49.78154,4.148113,9.373523216,856.6896182,12.42000008,0.690193274,-29.00081644,GR,94.286,4.04,17.537,21.577,2.622,0.334,2.288
9388,38302972,7,25,69,6,6.72,6.36,10.1,1,1.3,30.6,293.9,15.3,49.655714,3.189963,10.09091587,653.1997362,11.78999996,3.118163353,-11.23660109,CR,91.866,0.893,0.92,1.813,1.556,0.062,1.494
9730,37862960,5,22,72,6,7.63,7.24,13.2,9,1.5,71.5,470.1,17.1,49.510133,2.599668,10.16085263,652.2618099,12.06999969,1.837187423,-12.66792342,CR,93.916,2.3,11.12,13.42,1.555,0.145,1.41
10337,37763022,10,20,76,4,7.19,6.75,10.2,3,1.2,29.6,109.9,13.5,50.055114,2.374799,9.681196666,713.1736461,11.69999981,1.125777788,-13.4873572,CR,92.345,1.198,8.602,9.799,1.35,0.093,1.257
10195,36723010,16,14,79,7,6.9,6.56,8.2,1,1,39.7,160.7,10.2,49.841979,0.95229,10.70665354,737.6339698,12.56999969,1.885013593,-23.10349255,CR,81.791,0.972,6.771,7.743,1.07,0.078,0.992
10193,36243004,3,10,59,32,5.99,5.49,17.6,0.5,1.7,35,102.5,6,49.733494,0.298734,10.81419697,747.2732427,13.06999969,2.408926092,-28.87749994,CR,58.517,4.22,12.997,17.216,1.653,0.283,1.37
8523,36962834,4,21,73,6,6.4,5.62,9.9,0.5,1.1,51.9,170.9,11.7,48.297393,1.559014,10.61428329,612.8757615,9.720000267,0.824741223,-12.48384125,CR,95.055,1.752,8.679,10.43,1.068,0.084,0.984
9030,35522964,6,19,76,6,6.47,5.92,12.6,0.5,1.5,32.3,129.7,10.8,49.288858,-0.610234,11.15404654,764.506506,9.600000381,1.40742425,-13.348662,CR,89.666,0.998,10.948,11.946,1.448,0.066,1.383
8473,34922890,9,14,78,8,7.42,6.71,16.1,2,1.7,73.4,289.2,11.1,48.551406,-1.275005,11.18258382,779.1323323,17.12999916,1.174319796,-26.10031,CR,86.573,2.561,11.783,14.344,1.474,0.183,1.291
25594,38002654,6,16,24,60,7.35,6.95,48.2,10,4.2,121.5,209.6,26.2,46.783509,3.172694,10.78354131,765.9739339,11.47000027,0.787434726,-36.03924063,GR,35.804,21.71,30.988,52.698,4.95,1.742,3.208
9797,38043050,4,16,81,3,7.38,6.85,9.8,3,1.1,70,202.6,10.4,50.33093,2.725768,9.98146382,698.4546955,13.92000008,1.342851165,-12.06494211,CR,94.739,1.55,8.624,10.174,1.284,0.09,1.194
9642,41122890,6,36,52,12,7.09,6.66,49.7,12,4.1,5,485.5,36.8,49.086575,7.138689,9.282198846,867.7030114,12.81000042,0.608758818,-56.2087538,GR,95.432,10.301,39.995,50.297,4.957,0.592,4.365
9651,40522906,2,41,52,7,7.77,7.25,27,14,2.6,5,184.3,27.3,49.206363,6.307497,9.565076416,816.4295312,13.69999981,1.2180896,-17.65463831,GR,96.565,2.954,22.587,25.541,2.674,0.149,2.525
