InFileType,in_Wth,X.Do.not.change.this.input.file.type.name.,X,X.1,X.2
VersionNum,1.01,#Do not change this version number. There should be NO comma wthin any string (no comma in any cell if you open this file with a spreadsheet software),,,
#comments,,,,,
Year,DOY,Tmax,Tmin,Precip,NPP
2009,111,17.16,3.04,0,0.662206006216094
2009,112,17.55,-0.75,0.43,0.686067963630205
2009,113,10.93,5.74,0,0.710505504711464
2009,114,15.86,3.15,0,0.735519237345492
2009,115,19.7,0.73,0,0.761109087506386
2009,116,18.63,7.28,0,0.78727427537338
2009,117,19.66,13,0,0.814013292047403
2009,118,16.26,9.91,0,0.841323876945184
2009,119,14.12,5.55,1.41,0.869202995949388
2009,120,7.52,5.23,0.52,0.897646820393736
2009,121,16.05,6.39,0.59,0.92665070696237
2009,122,14.75,6,0,0.95620917858278
2009,123,18.42,3.2,0,0.986315906391377
2009,124,12.92,4.53,0.52,1.01696369285032
2009,125,11.7,3.92,0.81,1.04814445609345
2009,126,10.11,5.91,1.59,1.0798492155782
2009,127,19.3,8.79,0,1.11206807911894
2009,128,23.73,4.43,0.23,1.14479023137575
2009,129,22.04,9.58,0,1.17800392387064
2009,130,23.9,7.04,0,1.21169646660108
2009,131,23.22,7.76,1.84,1.24585422131823
2009,132,17.21,8.99,0.6,1.28046259653459
2009,133,11.37,8.1,0.33,1.31550604432258
2009,134,15.32,8.48,0.39,1.35096805896233
2009,135,14.55,7.28,0,1.38683117749345
2009,136,15.17,8.93,0.34,1.42307698222129
2009,137,23.87,6.83,0,1.45968610522453
2009,138,21.97,10.21,2.79,1.49663823490612
2009,139,18.39,12.06,0,1.53391212462506
2009,140,24.01,9.34,0,1.57148560344155
2009,141,27.55,8.51,0.75,1.60933558900302
2009,142,22.95,11.36,0.12,1.64743810259286
2009,143,22.4,12.64,0,1.68576828635843
2009,144,25.46,8.01,0,1.72430042272892
2009,145,27.29,14.04,0,1.76300795602778
2009,146,28.48,10.59,0.5,1.8018635162784
2009,147,17.41,10.9,0,1.84083894519524
2009,148,13.72,3.28,1.8,1.87990532434654
2009,149,12.26,3.92,2.28,1.91903300546819
2009,150,8.61,3.78,3.52,1.95819164290158
2009,151,15.59,2.44,0.77,1.9973502281221
2009,152,17.08,8.08,0.39,2.03647712631791
2009,153,15.9,6.35,0.33,2.07554011497233
2009,154,17.34,8.83,0,2.11450642439623
2009,155,14.68,5.61,0,2.15334278015066
2009,156,19.24,3.91,0,2.19201544729297
2009,157,23.03,9.09,0.56,2.23049027637384
2009,158,18.07,7.39,0.31,2.26873275110558
2009,159,21.52,8.24,0,2.30670803761682
2009,160,24.54,8.43,0.44,2.3443810352018
2009,161,18.3,11.86,0,2.38171642846738
2009,162,18.35,7.13,0.39,2.41867874077494
2009,163,17.07,8.65,0,2.45523238886893
2009,164,20.01,9.14,0,2.49134173857917
2009,165,26.45,6.91,0,2.52697116147852
2009,166,24.06,12.88,0.48,2.56208509237379
2009,167,19.48,13.81,0.4,2.59664808750289
2009,168,23.32,9.74,0,2.63062488330797
2009,169,27.02,7.78,0,2.66398045565035
2009,170,22.93,12.68,4.25,2.69668007933041
2009,171,14.77,9.07,0.55,2.7286893877725
2009,172,14.91,7.65,0.42,2.75997443273308
2009,173,9.94,8.92,7.29,2.79050174388806
2009,174,10.3,8.49,10.28,2.8202383881543
2009,175,11.47,9.71,2.36,2.84915202859891
2009,176,20.07,11.01,0,2.87721098278991
2009,177,21.01,11.51,1.03,2.90438428044135
2009,178,21.95,12.51,2.05,2.93064172020678
2009,179,18.51,14.34,6.23,2.95595392547585
2009,180,20.75,13.99,0.83,2.9802923990299
2009,181,22.36,14.04,0.48,3.00362957641476
2009,182,23.01,13.64,0.64,3.02593887789101
2009,183,24.29,13.53,1.02,3.04719475882474
2009,184,22.28,13.19,1.64,3.06737275838545
2009,185,23.73,14.76,0.45,3.08644954642107
2009,186,23.83,14.1,0.63,3.10440296838461
2009,187,22.47,11.87,1.86,3.12121208819123
2009,188,22.37,12.01,1.09,3.1368572288899
2009,189,18.89,11.2,0.46,3.15132001103904
2009,190,19.2,10.66,0.51,3.16458338868129
2009,191,16.51,10.75,0.39,3.17663168281903
2009,192,18.13,7.85,0,3.1874506122985
2009,193,21.15,8.81,0,3.19702732201744
2009,194,25.26,12.91,0,3.20535040837828
2009,195,28.64,13.17,0,3.21240994191626
2009,196,26.79,13.34,0.73,3.21819748703969
2009,197,27.46,15.39,0,3.22270611882738
2009,198,28.92,14.47,0.39,3.22593043683652
2009,199,20.54,7.72,4.24,3.22786657588225
2009,200,18.83,10.03,0,3.22851221375907
2009,201,21.61,8.46,0,3.22786657588225
2009,202,27.29,9.72,0,3.22593043683652
2009,203,30.54,12.61,0,3.22270611882738
2009,204,34.67,14.5,0.46,3.21819748703969
2009,205,27.02,14.71,2.37,3.21240994191626
2009,206,18.29,12.04,0.48,3.20535040837828
2009,207,21.47,8.64,0,3.19702732201744
2009,208,27.57,8.05,0,3.1874506122985
2009,209,20.93,11.6,0,3.17663168281903
2009,210,24.79,10.25,0,3.16458338868129
2009,211,24.76,11.84,0.45,3.15132001103904
